
Computing per-depth ceilings (total reachable branches)...
  depth 2: 66 total branches
  depth 4: 76 total branches
  depth 6: 86 total branches
  depth 8: 96 total branches

Running 36 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 12)...
2026-09-22 15:07:18,223 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:18,224 INFO: Plan 2: ḡ=18, γE[v]=0.0, Q=18.0
2026-09-22 15:07:18,246 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:07:18,246 INFO: Selected plan 2 with Q=18.0
2026-09-22 15:07:20,404 INFO: Plan 2: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:07:20,405 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:20,406 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:07:20,406 INFO: Selected plan 2 with Q=16.0
2026-09-22 15:07:21,091 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:07:21,116 INFO: Plan 2: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:07:21,140 INFO: Plan 0: ḡ=10, γE[v]=7.5, Q=17.5
2026-09-22 15:07:21,140 INFO: Selected plan 0 with Q=17.5
2026-09-22 15:07:37,129 INFO: Plan 1: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:07:37,130 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:07:37,131 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:37,132 INFO: Selected plan 1 with Q=12.5
2026-09-22 15:07:38,736 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:07:38,737 INFO: Plan 1: ḡ=10, γE[v]=12.5, Q=22.5
2026-09-22 15:07:38,738 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:07:38,739 INFO: Selected plan 1 with Q=22.5
2026-09-22 15:07:40,973 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:40,974 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:07:40,974 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:40,975 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:07:53,882 INFO: Plan 0: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:07:53,883 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:07:53,883 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:07:53,884 INFO: Selected plan 0 with Q=0.0
2026-09-22 15:07:55,297 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:55,298 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:55,299 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:07:55,299 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:08:00,048 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:00,049 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:00,050 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:00,050 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:08:12,562 INFO: Plan 0: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:08:12,563 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:12,564 INFO: Plan 1: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:08:12,565 INFO: Selected plan 1 with Q=16.0
2026-09-22 15:08:15,751 INFO: Plan 2: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:08:15,778 INFO: Plan 0: ḡ=10, γE[v]=7.5, Q=17.5
2026-09-22 15:08:15,779 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:08:15,779 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:08:19,961 INFO: Plan 1: ḡ=18, γE[v]=2.5, Q=20.5
2026-09-22 15:08:22,364 INFO: Plan 1: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:08:22,390 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:08:22,391 INFO: Plan 2: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:08:22,392 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:08:26,541 INFO: Plan 0: ḡ=4, γE[v]=0.5, Q=4.5
2026-09-22 15:08:26,542 INFO: Plan 2: ḡ=1, γE[v]=0.5, Q=1.5
2026-09-22 15:08:26,543 INFO: Selected plan 1 with Q=20.5
2026-09-22 15:08:29,204 INFO: Plan 2: ḡ=15, γE[v]=3.0, Q=18.0
2026-09-22 15:08:29,204 INFO: Plan 0: ḡ=18, γE[v]=4.0, Q=22.0
2026-09-22 15:08:29,229 INFO: Plan 1: ḡ=18, γE[v]=6.0, Q=24.0
2026-09-22 15:08:29,230 INFO: Selected plan 1 with Q=24.0
2026-09-22 15:08:34,472 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:34,473 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:08:34,497 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:08:34,498 INFO: Selected plan 1 with Q=17.0
2026-09-22 15:08:36,123 INFO: Plan 0: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:08:36,142 INFO: Plan 1: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:08:36,143 INFO: Plan 2: ḡ=0, γE[v]=7.5, Q=7.5
2026-09-22 15:08:36,144 INFO: Selected plan 1 with Q=16.0
2026-09-22 15:08:39,382 INFO: Plan 2: ḡ=18, γE[v]=4.0, Q=22.0
2026-09-22 15:08:39,407 INFO: Plan 1: ḡ=16, γE[v]=5.0, Q=21.0
2026-09-22 15:08:39,408 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:08:39,409 INFO: Selected plan 2 with Q=22.0
2026-09-22 15:08:40,455 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:40,456 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:40,457 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:40,458 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:08:46,301 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:46,302 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:46,303 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:46,303 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:08:48,616 INFO: Plan 2: ḡ=0, γE[v]=3.0, Q=3.0
2026-09-22 15:08:48,642 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:48,642 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:08:48,643 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:08:55,474 INFO: Plan 1: ḡ=12, γE[v]=2.0, Q=14.0
2026-09-22 15:08:55,475 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:08:55,498 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:08:55,501 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:09:02,717 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-09-22 15:09:02,764 INFO: Plan 2: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:09:04,000 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:04,025 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:09:04,025 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:04,026 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:09:09,213 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-09-22 15:09:09,213 INFO: Selected plan 2 with Q=10.0
2026-09-22 15:09:18,134 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:18,135 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:09:18,161 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:18,162 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:09:24,545 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:24,546 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:24,566 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:24,566 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:09:27,648 INFO: Plan 0: ḡ=6, γE[v]=0.0, Q=6.0
2026-09-22 15:09:27,649 INFO: Plan 2: ḡ=6, γE[v]=0.0, Q=6.0
2026-09-22 15:09:27,649 INFO: Plan 1: ḡ=6, γE[v]=0.0, Q=6.0
2026-09-22 15:09:27,650 INFO: Selected plan 0 with Q=6.0
2026-09-22 15:09:33,113 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:09:33,114 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:33,115 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:33,115 INFO: Selected plan 1 with Q=12.0
2026-09-22 15:09:42,206 INFO: Plan 1: ḡ=6, γE[v]=0.0, Q=6.0
2026-09-22 15:09:42,232 INFO: Plan 2: ḡ=11, γE[v]=0.0, Q=11.0
2026-09-22 15:09:42,233 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:09:42,234 INFO: Selected plan 2 with Q=11.0
2026-09-22 15:09:45,856 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:45,857 INFO: Plan 0: ḡ=0, γE[v]=6.0, Q=6.0
2026-09-22 15:09:45,858 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:45,859 INFO: Selected plan 1 with Q=12.0
2026-09-22 15:09:56,895 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:56,896 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:56,897 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:09:56,897 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:10:02,216 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:02,217 INFO: Plan 2: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:02,218 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:02,218 INFO: Selected plan 0 with Q=10.0
2026-09-22 15:10:05,474 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:05,475 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:05,476 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:05,476 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:10:14,580 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:14,581 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:14,581 INFO: Plan 2: ḡ=11, γE[v]=0.0, Q=11.0
2026-09-22 15:10:14,582 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:10:18,755 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-09-22 15:10:18,779 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:18,780 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:18,781 INFO: Selected plan 1 with Q=12.0
2026-09-22 15:10:24,920 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:24,921 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:24,923 INFO: Plan 2: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:24,923 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:10:27,411 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:27,412 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:27,412 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:27,413 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:10:29,234 INFO: Plan 2: ḡ=11, γE[v]=0.5, Q=11.5
2026-09-22 15:10:29,259 INFO: Plan 1: ḡ=12, γE[v]=6.0, Q=18.0
2026-09-22 15:10:29,308 INFO: Plan 0: ḡ=12, γE[v]=6.0, Q=18.0
2026-09-22 15:10:29,309 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:10:29,310 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:10:29,310 INFO: Selected plan 0 with Q=18.0
2026-09-22 15:10:30,949 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:30,950 INFO: Plan 0: ḡ=11, γE[v]=0.0, Q=11.0
2026-09-22 15:10:30,951 INFO: Plan 2: ḡ=11, γE[v]=0.0, Q=11.0
2026-09-22 15:10:30,951 INFO: Selected plan 1 with Q=12.0
2026-09-22 15:10:35,754 INFO: Plan 0: ḡ=1, γE[v]=0.5, Q=1.5
2026-09-22 15:10:35,755 INFO: Selected plan 1 with Q=18.0
2026-09-22 15:10:39,818 INFO: Plan 2: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:39,819 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:39,820 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:39,820 INFO: Selected plan 0 with Q=10.0
2026-09-22 15:10:44,245 INFO: Plan 1: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:10:44,246 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:10:44,267 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:44,268 INFO: Selected plan 0 with Q=16.0
2026-09-22 15:10:48,046 INFO: Plan 0: ḡ=12, γE[v]=1.0, Q=13.0
2026-09-22 15:10:48,047 INFO: Plan 2: ḡ=1, γE[v]=6.0, Q=7.0
2026-09-22 15:10:48,048 INFO: Plan 1: ḡ=12, γE[v]=2.0, Q=14.0
2026-09-22 15:10:48,048 INFO: Selected plan 1 with Q=14.0
2026-09-22 15:10:51,895 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:51,896 INFO: Plan 2: ḡ=14, γE[v]=0.0, Q=14.0
2026-09-22 15:10:51,921 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:51,923 INFO: Selected plan 2 with Q=14.0
2026-09-22 15:10:52,232 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:52,233 INFO: Plan 0: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:10:55,176 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:10:55,177 INFO: Plan 1: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:10:58,383 INFO: Plan 2: ḡ=1, γE[v]=2.5, Q=3.5
2026-09-22 15:10:58,383 INFO: Selected plan 0 with Q=17.0
2026-09-22 15:11:01,446 INFO: Plan 0: ḡ=1, γE[v]=5.5, Q=6.5
2026-09-22 15:11:01,447 INFO: Selected plan 1 with Q=16.0
2026-09-22 15:11:05,054 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:11:05,099 INFO: Plan 1: ḡ=12, γE[v]=1.0, Q=13.0
2026-09-22 15:11:05,100 INFO: Plan 0: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:11:05,101 INFO: Selected plan 1 with Q=13.0
2026-09-22 15:11:17,430 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-09-22 15:11:17,454 INFO: Plan 0: ḡ=12, γE[v]=1.0, Q=13.0
2026-09-22 15:11:22,882 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:11:22,883 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:11:22,905 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:11:22,906 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:11:23,757 INFO: Plan 2: ḡ=1, γE[v]=9.5, Q=10.5
2026-09-22 15:11:23,757 INFO: Selected plan 0 with Q=13.0
2026-09-22 15:11:25,876 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:11:25,901 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:11:25,902 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:11:25,903 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:11:40,253 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:11:40,280 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:11:40,280 INFO: Plan 2: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:11:40,281 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:11:46,370 INFO: Plan 1: ḡ=12, γE[v]=2.0, Q=14.0
2026-09-22 15:11:46,371 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:11:46,395 INFO: Plan 2: ḡ=12, γE[v]=2.5, Q=14.5
2026-09-22 15:11:46,395 INFO: Selected plan 0 with Q=16.0
2026-09-22 15:11:47,556 INFO: Plan 0: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:11:47,581 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:11:47,605 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:11:47,605 INFO: Selected plan 1 with Q=12.0
2026-09-22 15:12:01,406 INFO: Plan 0: ḡ=10, γE[v]=0.0, Q=10.0
2026-09-22 15:12:01,407 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:01,430 INFO: Plan 1: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:12:01,430 INFO: Selected plan 1 with Q=12.5
2026-09-22 15:12:05,320 INFO: Plan 0: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:05,346 INFO: Plan 1: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:05,347 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:05,347 INFO: Selected plan 1 with Q=12.0
2026-09-22 15:12:07,096 INFO: Plan 0: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:07,097 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:07,123 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:07,123 INFO: Selected plan 2 with Q=12.0
2026-09-22 15:12:12,323 INFO: Plan 0: ḡ=11, γE[v]=7.5, Q=18.5
2026-09-22 15:12:12,324 INFO: Plan 2: ḡ=12, γE[v]=6.0, Q=18.0
2026-09-22 15:12:12,325 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:12:12,325 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:12:20,224 INFO: Plan 1: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:12:20,226 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:12:22,788 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:22,789 INFO: Plan 2: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:22,811 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:22,811 INFO: Selected plan 0 with Q=12.0
2026-09-22 15:12:26,608 INFO: Plan 0: ḡ=8, γE[v]=0.5, Q=8.5
2026-09-22 15:12:26,608 INFO: Selected plan 1 with Q=17.0
2026-09-22 15:12:27,047 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:27,072 INFO: Plan 1: ḡ=12, γE[v]=2.5, Q=14.5
2026-09-22 15:12:27,073 INFO: Plan 2: ḡ=12, γE[v]=2.5, Q=14.5
2026-09-22 15:12:27,073 INFO: Selected plan 1 with Q=14.5
2026-09-22 15:12:28,485 INFO: Plan 2: ḡ=10, γE[v]=1.0, Q=11.0
2026-09-22 15:12:28,486 INFO: Plan 0: ḡ=10, γE[v]=1.0, Q=11.0
2026-09-22 15:12:28,487 INFO: Plan 1: ḡ=12, γE[v]=2.0, Q=14.0
2026-09-22 15:12:28,487 INFO: Selected plan 1 with Q=14.0
2026-09-22 15:12:28,989 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:12:29,014 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:12:29,015 INFO: Plan 0: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:12:29,015 INFO: Selected plan 0 with Q=19.5
2026-09-22 15:12:40,394 INFO: Plan 0: ḡ=10, γE[v]=6.0, Q=16.0
2026-09-22 15:12:40,395 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:12:40,396 INFO: Plan 2: ḡ=12, γE[v]=5.0, Q=17.0
2026-09-22 15:12:40,396 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:12:42,886 INFO: Plan 1: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:12:42,886 INFO: Plan 2: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:12:42,887 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:42,888 INFO: Selected plan 1 with Q=12.5
2026-09-22 15:12:45,467 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:45,490 INFO: Plan 0: ḡ=12, γE[v]=2.5, Q=14.5
2026-09-22 15:12:45,490 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:45,491 INFO: Selected plan 0 with Q=14.5
2026-09-22 15:12:46,744 INFO: Plan 1: ḡ=0, γE[v]=0.0, Q=0.0
2026-09-22 15:12:46,767 INFO: Plan 0: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:46,790 INFO: Plan 2: ḡ=10, γE[v]=2.5, Q=12.5
2026-09-22 15:12:46,790 INFO: Selected plan 2 with Q=12.5
2026-09-22 15:12:47,906 INFO: Plan 2: ḡ=12, γE[v]=0.0, Q=12.0
2026-09-22 15:12:47,929 INFO: Plan 1: ḡ=12, γE[v]=7.5, Q=19.5
2026-09-22 15:12:47,930 INFO: Plan 0: ḡ=12, γE[v]=6.0, Q=18.0
2026-09-22 15:12:47,930 INFO: Selected plan 1 with Q=19.5
2026-09-22 15:12:49,151 INFO: Plan 2: ḡ=12, γE[v]=4.0, Q=16.0
2026-09-22 15:12:49,152 INFO: Plan 0: ḡ=12, γE[v]=4.0, Q=16.0
