Building curiositybench-synth:latest with depths [2, 4, 6, 8] (k=20, m=6)...
  built.

Computing per-depth ceilings (total reachable branches)...
  depth 2: 60 total branches
  depth 4: 68 total branches
  depth 6: 76 total branches
  depth 8: 84 total branches

Running 60 (depth×strategy×seed) jobs on gemma-4-31B-it (parallel 8)...
2026-05-28 17:35:03,173 INFO: Selected plan 2 with Q=4.5
2026-05-28 17:35:09,947 INFO: Plan 0: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:35:09,947 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:35:09,948 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:35:09,949 INFO: Selected plan 0 with Q=1.0
2026-05-28 17:35:23,023 INFO: Plan 0: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:35:23,046 INFO: Plan 2: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:35:28,559 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:35:28,560 INFO: Selected plan 0 with Q=32.0
2026-05-28 17:35:35,555 INFO: Plan 2: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:35:35,555 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:35:35,556 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:35:35,557 INFO: Selected plan 0 with Q=1.0
2026-05-28 17:35:47,499 INFO: Plan 2: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:35:47,500 INFO: Plan 1: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:35:52,903 INFO: Plan 0: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:35:52,903 INFO: Selected plan 2 with Q=32.0
2026-05-28 17:35:55,823 INFO: Plan 0: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:35:55,824 INFO: Plan 1: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:35:55,825 INFO: Plan 2: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:35:55,826 INFO: Selected plan 1 with Q=34.0
2026-05-28 17:36:13,287 INFO: Plan 1: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:36:13,350 INFO: Plan 1: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:36:13,370 INFO: Plan 2: ḡ=35, γE[v]=10.5, Q=45.5
2026-05-28 17:36:18,220 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:18,221 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:18,221 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:18,222 INFO: Selected plan 0 with Q=1.0
2026-05-28 17:36:18,461 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:18,462 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:18,463 INFO: Selected plan 1 with Q=44.0
2026-05-28 17:36:18,540 INFO: Plan 0: ḡ=4, γE[v]=0.5, Q=4.5
2026-05-28 17:36:18,541 INFO: Selected plan 2 with Q=45.5
2026-05-28 17:36:37,591 INFO: Plan 1: ḡ=33, γE[v]=0.0, Q=33.0
2026-05-28 17:36:37,592 INFO: Plan 2: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:36:37,593 INFO: Plan 0: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:36:37,593 INFO: Selected plan 1 with Q=33.0
2026-05-28 17:36:39,829 INFO: Plan 0: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:36:42,577 INFO: Plan 1: ḡ=28, γE[v]=10.5, Q=38.5
2026-05-28 17:36:45,352 INFO: Plan 2: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:36:45,353 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:45,353 INFO: Selected plan 0 with Q=31.0
2026-05-28 17:36:47,723 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:47,741 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:36:47,742 INFO: Selected plan 1 with Q=38.5
2026-05-28 17:36:56,834 INFO: Plan 2: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:36:56,835 INFO: Plan 0: ḡ=38, γE[v]=0.0, Q=38.0
2026-05-28 17:37:02,234 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:37:02,234 INFO: Selected plan 0 with Q=38.0
2026-05-28 17:37:04,636 INFO: Plan 0: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:37:04,657 INFO: Plan 2: ḡ=30, γE[v]=10.0, Q=40.0
2026-05-28 17:37:06,132 INFO: Plan 1: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:37:06,133 INFO: Plan 2: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:37:06,151 INFO: Plan 0: ḡ=35, γE[v]=10.5, Q=45.5
2026-05-28 17:37:06,151 INFO: Selected plan 0 with Q=45.5
2026-05-28 17:37:09,584 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:37:09,585 INFO: Selected plan 2 with Q=40.0
2026-05-28 17:37:22,151 INFO: Plan 1: ḡ=31, γE[v]=0.0, Q=31.0
2026-05-28 17:37:22,172 INFO: Plan 0: ḡ=31, γE[v]=10.0, Q=41.0
2026-05-28 17:37:22,172 INFO: Plan 2: ḡ=34, γE[v]=10.5, Q=44.5
2026-05-28 17:37:22,173 INFO: Selected plan 2 with Q=44.5
2026-05-28 17:37:23,537 INFO: Plan 2: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:37:28,759 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:37:28,760 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:37:28,761 INFO: Selected plan 2 with Q=32.0
2026-05-28 17:37:30,094 INFO: Plan 0: ḡ=28, γE[v]=0.0, Q=28.0
2026-05-28 17:37:30,114 INFO: Plan 2: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:37:30,135 INFO: Plan 1: ḡ=28, γE[v]=10.5, Q=38.5
2026-05-28 17:37:30,135 INFO: Selected plan 1 with Q=38.5
2026-05-28 17:37:45,445 INFO: Plan 1: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:37:45,446 INFO: Plan 0: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:37:45,462 INFO: Plan 2: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:37:45,462 INFO: Selected plan 2 with Q=44.0
2026-05-28 17:37:47,382 INFO: Plan 0: ḡ=34, γE[v]=0.0, Q=34.0
2026-05-28 17:37:47,403 INFO: Plan 2: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:37:49,817 INFO: Plan 1: ḡ=35, γE[v]=0.0, Q=35.0
2026-05-28 17:37:52,529 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:37:52,529 INFO: Selected plan 0 with Q=34.0
2026-05-28 17:37:54,849 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:37:54,850 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:37:54,850 INFO: Selected plan 1 with Q=35.0
2026-05-28 17:38:14,448 INFO: Plan 1: ḡ=33, γE[v]=0.0, Q=33.0
2026-05-28 17:38:19,588 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:38:19,589 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:38:19,590 INFO: Selected plan 1 with Q=33.0
2026-05-28 17:38:38,267 INFO: Plan 2: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:38:38,268 INFO: Plan 0: ḡ=35, γE[v]=0.0, Q=35.0
2026-05-28 17:38:43,382 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:38:43,383 INFO: Selected plan 0 with Q=35.0
2026-05-28 17:39:01,391 INFO: Plan 2: ḡ=32, γE[v]=0.0, Q=32.0
2026-05-28 17:39:06,604 INFO: Plan 0: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:39:06,605 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:39:06,605 INFO: Selected plan 2 with Q=32.0
2026-05-28 17:39:38,586 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:39:38,587 INFO: Plan 1: ḡ=6, γE[v]=0.5, Q=6.5
2026-05-28 17:39:38,588 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:39:38,588 INFO: Selected plan 1 with Q=6.5
2026-05-28 17:39:57,114 INFO: Plan 0: ḡ=32, γE[v]=3.5, Q=35.5
2026-05-28 17:39:57,136 INFO: Plan 2: ḡ=18, γE[v]=6.0, Q=24.0
2026-05-28 17:40:02,678 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:40:02,679 INFO: Selected plan 0 with Q=35.5
2026-05-28 17:40:11,714 INFO: Plan 0: ḡ=0, γE[v]=2.5, Q=2.5
2026-05-28 17:40:11,715 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:40:11,716 INFO: Plan 2: ḡ=6, γE[v]=0.5, Q=6.5
2026-05-28 17:40:11,716 INFO: Selected plan 2 with Q=6.5
2026-05-28 17:40:23,289 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:40:28,482 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:40:28,483 INFO: Plan 2: ḡ=1, γE[v]=0.5, Q=1.5
2026-05-28 17:40:28,483 INFO: Selected plan 1 with Q=42.5
2026-05-28 17:40:31,757 INFO: Plan 0: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:40:31,758 INFO: Plan 1: ḡ=25, γE[v]=10.0, Q=35.0
2026-05-28 17:40:37,321 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:40:37,321 INFO: Selected plan 1 with Q=35.0
2026-05-28 17:40:48,153 INFO: Plan 1: ḡ=25, γE[v]=7.5, Q=32.5
2026-05-28 17:40:53,635 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:40:53,635 INFO: Plan 2: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:40:53,636 INFO: Selected plan 1 with Q=32.5
2026-05-28 17:40:59,107 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:40:59,108 INFO: Plan 2: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:40:59,108 INFO: Plan 0: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:40:59,109 INFO: Selected plan 0 with Q=42.5
2026-05-28 17:41:04,721 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:41:04,722 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:41:04,722 INFO: Plan 2: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:41:04,723 INFO: Selected plan 0 with Q=1.0
2026-05-28 17:41:14,568 INFO: Plan 1: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:41:14,569 INFO: Plan 2: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:41:14,590 INFO: Plan 0: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:41:14,591 INFO: Selected plan 0 with Q=42.5
2026-05-28 17:41:21,185 INFO: Plan 0: ḡ=24, γE[v]=3.5, Q=27.5
2026-05-28 17:41:21,186 INFO: Plan 1: ḡ=15, γE[v]=10.0, Q=25.0
2026-05-28 17:41:21,207 INFO: Plan 2: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:41:21,208 INFO: Selected plan 2 with Q=34.0
2026-05-28 17:41:30,516 INFO: Plan 2: ḡ=1, γE[v]=3.0, Q=4.0
2026-05-28 17:41:30,516 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:41:30,517 INFO: Plan 0: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:41:30,518 INFO: Selected plan 2 with Q=4.0
2026-05-28 17:41:34,261 INFO: Plan 2: ḡ=45, γE[v]=0.0, Q=45.0
2026-05-28 17:41:34,282 INFO: Plan 0: ḡ=18, γE[v]=6.0, Q=24.0
2026-05-28 17:41:34,283 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:41:34,283 INFO: Selected plan 2 with Q=45.0
2026-05-28 17:41:37,399 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:41:37,400 INFO: Plan 0: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:41:37,419 INFO: Plan 2: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:41:37,419 INFO: Selected plan 0 with Q=42.5
2026-05-28 17:41:49,285 INFO: Plan 0: ḡ=18, γE[v]=12.5, Q=30.5
2026-05-28 17:41:49,286 INFO: Plan 2: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:41:49,286 INFO: Plan 1: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:41:49,287 INFO: Selected plan 2 with Q=44.0
2026-05-28 17:41:53,109 INFO: Plan 1: ḡ=18, γE[v]=7.5, Q=25.5
2026-05-28 17:41:53,110 INFO: Plan 2: ḡ=18, γE[v]=12.5, Q=30.5
2026-05-28 17:41:57,854 INFO: Plan 0: ḡ=25, γE[v]=10.0, Q=35.0
2026-05-28 17:41:57,874 INFO: Plan 2: ḡ=25, γE[v]=7.5, Q=32.5
2026-05-28 17:41:57,875 INFO: Plan 1: ḡ=18, γE[v]=7.5, Q=25.5
2026-05-28 17:41:57,875 INFO: Selected plan 0 with Q=35.0
2026-05-28 17:41:58,400 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:41:58,401 INFO: Selected plan 2 with Q=30.5
2026-05-28 17:42:10,977 INFO: Plan 1: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:42:10,978 INFO: Plan 2: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:42:14,172 INFO: Plan 0: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:42:14,172 INFO: Plan 2: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:42:14,173 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:42:14,174 INFO: Selected plan 0 with Q=44.0
2026-05-28 17:42:14,737 INFO: Plan 2: ḡ=35, γE[v]=5.0, Q=40.0
2026-05-28 17:42:14,738 INFO: Plan 0: ḡ=38, γE[v]=6.0, Q=44.0
2026-05-28 17:42:16,354 INFO: Plan 0: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:42:16,355 INFO: Selected plan 1 with Q=34.0
2026-05-28 17:42:19,540 INFO: Plan 1: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:42:19,540 INFO: Selected plan 0 with Q=44.0
2026-05-28 17:42:34,657 INFO: Plan 2: ḡ=35, γE[v]=5.0, Q=40.0
2026-05-28 17:42:34,658 INFO: Plan 1: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:42:36,777 INFO: Plan 1: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:42:36,777 INFO: Plan 2: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:42:36,778 INFO: Plan 0: ḡ=22, γE[v]=10.0, Q=32.0
2026-05-28 17:42:36,779 INFO: Selected plan 1 with Q=34.0
2026-05-28 17:42:39,723 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:42:39,723 INFO: Selected plan 2 with Q=40.0
2026-05-28 17:42:52,368 INFO: Plan 2: ḡ=38, γE[v]=3.0, Q=41.0
2026-05-28 17:42:52,388 INFO: Plan 0: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:42:52,389 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:42:52,390 INFO: Selected plan 0 with Q=42.5
2026-05-28 17:43:13,050 INFO: Plan 0: ḡ=18, γE[v]=12.5, Q=30.5
2026-05-28 17:43:13,070 INFO: Plan 1: ḡ=22, γE[v]=10.0, Q=32.0
2026-05-28 17:43:13,071 INFO: Plan 2: ḡ=18, γE[v]=7.5, Q=25.5
2026-05-28 17:43:13,072 INFO: Selected plan 1 with Q=32.0
2026-05-28 17:43:30,374 INFO: Plan 1: ḡ=28, γE[v]=6.0, Q=34.0
2026-05-28 17:43:35,900 INFO: Plan 0: ḡ=6, γE[v]=0.5, Q=6.5
2026-05-28 17:43:35,901 INFO: Plan 2: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:43:35,901 INFO: Selected plan 1 with Q=34.0
2026-05-28 17:44:06,010 INFO: Plan 2: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:44:06,010 INFO: Plan 1: ḡ=8, γE[v]=0.5, Q=8.5
2026-05-28 17:44:06,011 INFO: Plan 0: ḡ=1, γE[v]=0.0, Q=1.0
2026-05-28 17:44:06,012 INFO: Selected plan 1 with Q=8.5
2026-05-28 17:44:28,007 INFO: Plan 0: ḡ=35, γE[v]=2.5, Q=37.5
2026-05-28 17:44:28,029 INFO: Plan 2: ḡ=35, γE[v]=5.0, Q=40.0
2026-05-28 17:44:28,050 INFO: Plan 1: ḡ=35, γE[v]=7.5, Q=42.5
2026-05-28 17:44:28,051 INFO: Selected plan 1 with Q=42.5
2026-05-28 17:44:40,395 INFO: Plan 0: ḡ=0, γE[v]=3.5, Q=3.5
2026-05-28 17:44:40,396 INFO: Plan 1: ḡ=0, γE[v]=1.0, Q=1.0
2026-05-28 17:44:40,416 INFO: Plan 2: ḡ=8, γE[v]=0.5, Q=8.5
2026-05-28 17:44:40,416 INFO: Selected plan 2 with Q=8.5
