Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-03-31 16:11:39,297 WARNING: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
======================================================================
TestGenEval Lite
  Examples: 160 across 11 repos
    astropy/astropy: 3
    django/django: 66
    matplotlib/matplotlib: 7
    mwaskom/seaborn: 2
    pallets/flask: 1
    pydata/xarray: 3
    pylint-dev/pylint: 2
    pytest-dev/pytest: 12
    scikit-learn/scikit-learn: 20
    sphinx-doc/sphinx: 2
    sympy/sympy: 42
  Strategies: ['cov_qvalue_exec']
  Seeds: [42]
  Exec budget: 24
  Total runs: 160
======================================================================
  Connectivity: OK

Running 160 targets with 4 workers...
  [115/160] django/db/models/fields/related.py (django/django v3.1): {'cov_qvalue_exec': 172}
  [116/160] django/db/backends/ddl_references.py (django/django v4.1): {'cov_qvalue_exec': 77}
  [117/160] django/db/migrations/autodetector.py (django/django v4.2): {'cov_qvalue_exec': 83}
  [118/160] django/contrib/admin/sites.py (django/django v4.0): {'cov_qvalue_exec': 84}
  [119/160] django/db/models/lookups.py (django/django v3.1): {'cov_qvalue_exec': 200}
  [120/160] sympy/polys/polyoptions.py (sympy/sympy v1.1): {'cov_qvalue_exec': 46}
  [121/160] sklearn/compose/_column_transformer.py (scikit-learn/scikit-learn v1.3): {'cov_qvalue_exec': 0}
  [122/160] src/_pytest/main.py (pytest-dev/pytest v5.2): {'cov_qvalue_exec': 73}
  [123/160] src/_pytest/logging.py (pytest-dev/pytest v4.4): {'cov_qvalue_exec': 92}
  [124/160] sympy/printing/pycode.py (sympy/sympy v1.5): {'cov_qvalue_exec': 0}
  [125/160] lib/matplotlib/legend.py (matplotlib/matplotlib v3.6): {'cov_qvalue_exec': 93}
  [126/160] sklearn/utils/multiclass.py (scikit-learn/scikit-learn v1.3): {'cov_qvalue_exec': 0}
  [127/160] sklearn/model_selection/_split.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [128/160] sklearn/neighbors/nca.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [129/160] src/_pytest/nodes.py (pytest-dev/pytest v5.4): {'cov_qvalue_exec': 3}
  [130/160] astropy/io/ascii/qdp.py (astropy/astropy v5.1): {'cov_qvalue_exec': 11}
  [131/160] sympy/parsing/mathematica.py (sympy/sympy v1.12): {'cov_qvalue_exec': 112}
  [132/160] django/forms/boundfield.py (django/django v4.0): {'cov_qvalue_exec': 18}
  [133/160] sympy/solvers/polysys.py (sympy/sympy v1.9): {'cov_qvalue_exec': 34}
  [134/160] django/db/models/deletion.py (django/django v3.1): {'cov_qvalue_exec': 40}
  [135/160] django/forms/formsets.py (django/django v4.2): {'cov_qvalue_exec': 125}
  [136/160] django/forms/formsets.py (django/django v4.2): {'cov_qvalue_exec': 39}
  [137/160] sphinx/environment/adapters/indexentries.py (sphinx-doc/sphinx v3.2): {'cov_qvalue_exec': 52}
  [138/160] src/_pytest/junitxml.py (pytest-dev/pytest v5.0): {'cov_qvalue_exec': 7}
  [139/160] sympy/combinatorics/permutations.py (sympy/sympy v1.0): {'cov_qvalue_exec': 108}
  [140/160] django/db/models/deletion.py (django/django v3.0): {'cov_qvalue_exec': 42}
  [141/160] lib/matplotlib/style/core.py (matplotlib/matplotlib v3.6): {'cov_qvalue_exec': 38}
  [142/160] django/template/autoreload.py (django/django v4.1): {'cov_qvalue_exec': 2}
  [143/160] django/contrib/admin/views/autocomplete.py (django/django v4.0): {'cov_qvalue_exec': 14}
  [144/160] django/core/exceptions.py (django/django v3.2): {'cov_qvalue_exec': 103}
  [145/160] django/dispatch/dispatcher.py (django/django v3.2): {'cov_qvalue_exec': 85}
  [146/160] django/db/backends/postgresql/client.py (django/django v4.2): {'cov_qvalue_exec': 12}
  [147/160] django/utils/numberformat.py (django/django v4.2): {'cov_qvalue_exec': 23}
  [148/160] sklearn/isotonic.py (scikit-learn/scikit-learn v1.3): {'cov_qvalue_exec': 0}
  [149/160] sympy/geometry/point.py (sympy/sympy v1.10): {'cov_qvalue_exec': 26}
  [150/160] sympy/matrices/sparse.py (sympy/sympy v1.1): {'cov_qvalue_exec': 39}
  [151/160] django/contrib/messages/storage/cookie.py (django/django v4.1): {'cov_qvalue_exec': 44}
  [152/160] xarray/core/concat.py (pydata/xarray v0.12): {'cov_qvalue_exec': 85}
  [153/160] django/core/checks/templates.py (django/django v4.2): {'cov_qvalue_exec': 7}
  [154/160] django/core/checks/translation.py (django/django v3.1): {'cov_qvalue_exec': 20}
  [155/160] src/_pytest/tmpdir.py (pytest-dev/pytest v6.3): {'cov_qvalue_exec': 61}
  [156/160] sympy/physics/units/prefixes.py (sympy/sympy v1.13): {'cov_qvalue_exec': 10}
  [157/160] django/contrib/auth/validators.py (django/django v3.0): {'cov_qvalue_exec': 14}
  [158/160] seaborn/_stats/regression.py (mwaskom/seaborn v0.12): {'cov_qvalue_exec': 4}
  [159/160] sklearn/cluster/_affinity_propagation.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [160/160] sklearn/ensemble/iforest.py (scikit-learn/scikit-learn v0.21): {'cov_qvalue_exec': 0}

======================================================================
RESULTS
======================================================================

Module                                   repo            seed  cov_qvalue_
-------------------------------------------------------------------------
sphinx.util.typing                       sphinx-doc/sph    42            2
astropy.wcs.wcs                          astropy/astrop    42           84
sympy.physics.units.util                 sympy/sympy       42           16
mpl_toolkits.axes_grid1.axes_grid        matplotlib/mat    42           20
sympy.geometry.util                      sympy/sympy       42           21
sympy.printing.pretty.pretty             sympy/sympy       42           61
sympy.printing.pretty.pretty             sympy/sympy       42           73
sympy.utilities.iterables                sympy/sympy       42           31
django.views.debug                       django/django     42          191
sympy.utilities.iterables                sympy/sympy       42           31
django.views.debug                       django/django     42           62
django.forms.models                      django/django     42           31
xarray.core.formatting                   pydata/xarray     42           14
matplotlib.figure                        matplotlib/mat    42          149
sympy.core.function                      sympy/sympy       42           48
sklearn.metrics.cluster._supervised      scikit-learn/s    42            0
sympy.printing.latex                     sympy/sympy       42          415
django.forms.models                      django/django     42           24
sympy.printing.latex                     sympy/sympy       42          355
sympy.printing.latex                     sympy/sympy       42           77
flask.cli                                pallets/flask     42           18
django.contrib.admin.utils               django/django     42           67
sympy.functions.elementary.hyperbolic    sympy/sympy       42          110
django.db.backends.base.creation         django/django     42           36
sklearn.feature_selection.mutual_info_   scikit-learn/s    42            0
django.utils.text                        django/django     42           91
django.core.cache.backends.filebased     django/django     42            8
sympy.physics.quantum.tensorproduct      sympy/sympy       42           12
django.db.backends.base.creation         django/django     42           33
sympy.printing.str                       sympy/sympy       42           29
django.utils.autoreload                  django/django     42          104
django.utils.autoreload                  django/django     42           93
django.utils.http                        django/django     42          125
xarray.core.groupby                      pydata/xarray     42           47
sympy.assumptions.refine                 sympy/sympy       42           25
django.db.models.query                   django/django     42          211
_pytest._code.source                     pytest-dev/pyt    42           16
sympy.core.numbers                       sympy/sympy       42          140
sympy.core.numbers                       sympy/sympy       42          138
sympy.utilities.codegen                  sympy/sympy       42          320
django.utils.html                        django/django     42            7
sympy.core.numbers                       sympy/sympy       42          219
django.db.models.query                   django/django     42          178
sympy.core.basic                         sympy/sympy       42           30
sympy.functions.elementary.complexes     sympy/sympy       42           35
django.forms.formsets                    django/django     42           55
sklearn.pipeline                         scikit-learn/s    42            0
django.template.defaultfilters           django/django     42            0
django.core.management.commands.shell    django/django     42           31
django.db.migrations.serializer          django/django     42          137
django.db.migrations.serializer          django/django     42          119
astropy.modeling.separable               astropy/astrop    42           22
django.http.response                     django/django     42          160
django.db.migrations.executor            django/django     42           21
django.db.migrations.serializer          django/django     42          109
django.db.migrations.serializer          django/django     42            0
django.db.models.base                    django/django     42          184
django.db.migrations.serializer          django/django     42          110
django.db.models.base                    django/django     42            3
django.db.migrations.operations.models   django/django     42          187
django.forms.widgets                     django/django     42          347
sklearn.linear_model.logistic            scikit-learn/s    42            0
_pytest.mark.evaluate                    pytest-dev/pyt    42            0
django.contrib.admin.checks              django/django     42            0
_pytestthon                              pytest-dev/pyt    42            0
django.contrib.auth.tokens               django/django     42           19
django.urls.resolvers                    django/django     42            4
matplotlib.offsetbox                     matplotlib/mat    42           96
sklearn.utils.validation                 scikit-learn/s    42            0
django.db.migrations.operations.models   django/django     42          185
_pytest._io.saferepr                     pytest-dev/pyt    42            2
sklearn.neighbors.base                   scikit-learn/s    42            0
django.utils.decorators                  django/django     42            9
sympy.matrices.expressions.blockmatrix   sympy/sympy       42           30
sympy.polys.monomials                    sympy/sympy       42           42
sympy.functions.elementary.complexes     sympy/sympy       42           57
sklearn.svm.base                         scikit-learn/s    42            0
seaborn._core.scales                     mwaskom/seabor    42           13
sympy.tensor.array.ndim_array            sympy/sympy       42           33
sympy.printing.ccode                     sympy/sympy       42           25
django.db.models.query_utils             django/django     42           14
_pytest.skipping                         pytest-dev/pyt    42           70
_pytest.skipping                         pytest-dev/pyt    42           67
django.db.models.fields.json             django/django     42          143
sympy.physics.units.unitsystem           sympy/sympy       42           12
sympy.physics.units.unitsystem           sympy/sympy       42           11
django.db.models.query_utils             django/django     42           16
django.db.migrations.autodetector        django/django     42          170
_pytestthon                              pytest-dev/pyt    42            0
sklearn.utils._pprint                    scikit-learn/s    42            0
django.db.migrations.autodetector        django/django     42           72
sympy.utilities.lambdify                 sympy/sympy       42           20
sympy.utilities.lambdify                 sympy/sympy       42           79
sklearn.preprocessing._encoders          scikit-learn/s    42            0
django.contrib.admin.options             django/django     42          228
django.contrib.auth.forms                django/django     42            5
django.contrib.auth.forms                django/django     42            5
sympy.matrices.expressions.blockmatrix   sympy/sympy       42           30
sklearn.preprocessing.label              scikit-learn/s    42            0
matplotlib.colorbar                      matplotlib/mat    42          107
sympy.matrices.expressions.matexpr       sympy/sympy       42            8
matplotlib.artist                        matplotlib/mat    42          122
sklearn.linear_model.ridge               scikit-learn/s    42            0
sympy.printing.mathematica               sympy/sympy       42           51
django.db.models.sql.query               django/django     42          212
django.views.static                      django/django     42           21
sympy.printing.mathematica               sympy/sympy       42            8
django.contrib.admin.templatetags.admin  django/django     42            0
pylint.reporters.text                    pylint-dev/pyl    42           18
sklearn.ensemble.voting                  scikit-learn/s    42            0
sklearn.utils._set_output                scikit-learn/s    42            0
sympy.physics.vector.point               sympy/sympy       42           23
django.core.management.base              django/django     42            3
pylint.checkers.misc                     pylint-dev/pyl    42            2
django.db.models.fields.related          django/django     42          172
django.db.backends.ddl_references        django/django     42           77
django.db.migrations.autodetector        django/django     42           83
django.contrib.admin.sites               django/django     42           84
django.db.models.lookups                 django/django     42          200
sympy.polys.polyoptions                  sympy/sympy       42           46
sklearn.compose._column_transformer      scikit-learn/s    42            0
_pytest.main                             pytest-dev/pyt    42           73
_pytest.logging                          pytest-dev/pyt    42           92
sympy.printingcode                       sympy/sympy       42            0
matplotlib.legend                        matplotlib/mat    42           93
sklearn.utils.multiclass                 scikit-learn/s    42            0
sklearn.model_selection._split           scikit-learn/s    42            0
sklearn.neighbors.nca                    scikit-learn/s    42            0
_pytest.nodes                            pytest-dev/pyt    42            3
astropy.io.ascii.qdp                     astropy/astrop    42           11
sympy.parsing.mathematica                sympy/sympy       42          112
django.forms.boundfield                  django/django     42           18
sympy.solvers.polysys                    sympy/sympy       42           34
django.db.models.deletion                django/django     42           40
django.forms.formsets                    django/django     42          125
django.forms.formsets                    django/django     42           39
sphinx.environment.adapters.indexentrie  sphinx-doc/sph    42           52
_pytest.junitxml                         pytest-dev/pyt    42            7
sympy.combinatorics.permutations         sympy/sympy       42          108
django.db.models.deletion                django/django     42           42
matplotlib.style.core                    matplotlib/mat    42           38
django.template.autoreload               django/django     42            2
django.contrib.admin.views.autocomplete  django/django     42           14
django.core.exceptions                   django/django     42          103
django.dispatch.dispatcher               django/django     42           85
django.db.backends.postgresql.client     django/django     42           12
django.utils.numberformat                django/django     42           23
sklearn.isotonic                         scikit-learn/s    42            0
sympy.geometry.point                     sympy/sympy       42           26
sympy.matrices.sparse                    sympy/sympy       42           39
django.contrib.messages.storage.cookie   django/django     42           44
xarray.core.concat                       pydata/xarray     42           85
django.core.checks.templates             django/django     42            7
django.core.checks.translation           django/django     42           20
_pytest.tmpdir                           pytest-dev/pyt    42           61
sympy.physics.units.prefixes             sympy/sympy       42           10
django.contrib.auth.validators           django/django     42           14
seaborn._stats.regression                mwaskom/seabor    42            4
sklearn.cluster._affinity_propagation    scikit-learn/s    42            0
sklearn.ensemble.iforest                 scikit-learn/s    42            0

======================================================================
STATISTICS
======================================================================

Per-strategy means (n=160):
  cov_qvalue_exec      branches=  58.8 ± 5.9  lines=129.4  pass_rate=55%

Per-repo means:

  astropy/astropy (3 runs):
    cov_qvalue_exec      mean=39.0

  django/django (66 runs):
    cov_qvalue_exec      mean=76.3

  matplotlib/matplotlib (7 runs):
    cov_qvalue_exec      mean=89.3

  mwaskom/seaborn (2 runs):
    cov_qvalue_exec      mean=8.5

  pallets/flask (1 runs):
    cov_qvalue_exec      mean=18.0

  pydata/xarray (3 runs):
    cov_qvalue_exec      mean=48.7

  pylint-dev/pylint (2 runs):
    cov_qvalue_exec      mean=10.0

  pytest-dev/pytest (12 runs):
    cov_qvalue_exec      mean=32.6

  scikit-learn/scikit-learn (20 runs):
    cov_qvalue_exec      mean=0.0

  sphinx-doc/sphinx (2 runs):
    cov_qvalue_exec      mean=27.0

  sympy/sympy (42 runs):
    cov_qvalue_exec      mean=71.2

Cost: $7.3968 | Time: 20676s (344.6m)
Saved to /share/edc/home/aamayuelasfernandez/inference-curiosity/results/testgeneval/exec_selection_mistral.json
